key,control_module_id,control_module_name,control_type,controller_address,equipment_module_externalId,description
CTRL_EM_BLDR_CTRL_DIAG,CM-BLDR-DIAG,Blender Diagnostics Monitor,Monitoring,PLC-BLDR:K6:DIA604,EM_BLDR_CTRL,Diagnostic monitoring collecting blender health metrics.
CTRL_EM_CONV_DRV1_SPEED_PID,CM-CONV-SPD,Conveyor Drive Speed PID,Regulatory,PLC-CONV:K7:SPD701,EM_CONV_DRV1,Speed PID balancing conveyor throughput and accumulation.
CTRL_EM_CONV_DRV1_JAM_DET,CM-CONV-JAM,Conveyor Jam Detection,Alarm,PLC-CONV:K7:JAM702,EM_CONV_DRV1,Alarm logic watching sensors for conveyor jams.
CTRL_EM_CONV_DRV1_SAFETY_LASER,CM-CONV-SAFE,Conveyor Safety Scanner Logic,Safety,PLC-CONV:K7:SIS703,EM_CONV_DRV1,Safety logic tied to laser scanners stopping conveyor motion.
CTRL_EM_CONV_DRV1_LOAD_MON,CM-CONV-LOAD,Conveyor Load Monitor,Monitoring,PLC-CONV:K7:LM704,EM_CONV_DRV1,Monitoring block trending conveyor load torque.
CTRL_EM_COMP_CTRL_PRESS_PID,CM-COMP-PRES,Compressor Discharge Pressure PID,Regulatory,PLC-COMP:K8:PIC801,EM_COMP_CTRL,PID loop maintaining compressor discharge pressure.
CTRL_EM_COMP_CTRL_TEMP_CTRL,CM-COMP-TEMP,Compressor Temperature Control,Regulatory,PLC-COMP:K8:TIC802,EM_COMP_CTRL,Temperature control protecting compressor internals.
CTRL_EM_COMP_CTRL_PURGE_SEQ,CM-COMP-SEQ,Compressor Purge Sequencer,Sequence,PLC-COMP:K8:SEQ8,EM_COMP_CTRL,Sequence automating compressor purge cycles.
CTRL_EM_COMP_CTRL_SAFETY_TRIP,CM-COMP-SIS,Compressor Safety Shutdown,Safety,PLC-COMP:K8:SIS803,EM_COMP_CTRL,Safety interlock tripping compressor during hazardous states.
CTRL_EM_R14_HEAT_TEMP_PID,CM-R14-TEMP,Reactor R14 Heater PID,Regulatory,PLC-R14:K9:TIC901,EM_R14_HEAT,PID controlling R14 jacket temperature via heater module.
CTRL_EM_R14_HEAT_FLOW_CTRL,CM-R14-FLOW,Heater Circulation Flow Control,Regulatory,PLC-R14:K9:FIC902,EM_R14_HEAT,Flow control ensuring heater circulation meets spec.
CTRL_EM_R14_HEAT_OVERHEAT_TRIP,CM-R14-OT,Heater Overheat Trip,Safety,PLC-R14:K9:OT903,EM_R14_HEAT,Overheat trip shutting heaters when temperature exceeds limits.
CTRL_EM_R14_HEAT_START_SEQ,CM-R14-SEQ,Heater Warmup Sequencer,Sequence,PLC-R14:K9:SEQ9,EM_R14_HEAT,Sequencer stepping through controlled heater warmup.
CTRL_EM_R15_VALVE_POS_CTRL,CM-R15-POS,Valve Positioner Control,Regulatory,PLC-R15:K10:POS1001,EM_R15_VALVE,Control loop positioning valves for Reactor R15 manifold.
CTRL_EM_R15_VALVE_PRESS_PROT,CM-R15-PSV,Valve Manifold Pressure Protection,Safety,PLC-R15:K10:PSV1002,EM_R15_VALVE,Safety logic venting manifold under high pressure.
CTRL_EM_R15_VALVE_SWITCH_SEQ,CM-R15-SEQ,Valve Lineup Sequencer,Sequence,PLC-R15:K10:SEQ10,EM_R15_VALVE,Sequence coordinating valve alignment for campaigns.
CTRL_EM_R15_VALVE_LEAK_MON,CM-R15-LEAK,Valve Leak Monitor,Monitoring,PLC-R15:K10:LM1003,EM_R15_VALVE,Monitoring logic detecting valve leakage conditions.
CTRL_EM_QA_SENS_PH_CTRL,CM-QA-PH,QA pH Control Loop,Regulatory,PLC-QA:K11:PH1101,EM_QA_SENS,Closed-loop pH control for QA sensor skid.
CTRL_EM_QA_SENS_COND_CTRL,CM-QA-COND,QA Conductivity Control,Regulatory,PLC-QA:K11:CD1102,EM_QA_SENS,Conductivity loop adjusting QA sensor calibration baths.
CTRL_EM_QA_SENS_CAL_SEQ,CM-QA-CAL,QA Sensor Calibration Sequence,Sequence,PLC-QA:K11:CAL11,EM_QA_SENS,Sequence guiding automated QA sensor calibration.
CTRL_EM_QA_SENS_FAILSAFE,CM-QA-SAFE,QA Sensor Failsafe Logic,Safety,PLC-QA:K11:SIS1103,EM_QA_SENS,Safety logic isolating QA cell on sensor faults.
CTRL_EM_QC_UV_GAIN_CTRL,CM-QC-UVG,QC UV Gain Control,Regulatory,PLC-QC:K12:UV1201,EM_QC_UV,Gain control loop for QC UV detector amplifier.
CTRL_EM_QC_UV_LAMP_SEQ,CM-QC-UVL,QC UV Lamp Warmup Sequence,Sequence,PLC-QC:K12:SEQ12,EM_QC_UV,Sequencer managing UV lamp preheat cycles.
CTRL_EM_QC_UV_TEMP_ALARM,CM-QC-UVT,QC UV Module Temperature Alarm,Alarm,PLC-QC:K12:TAL1202,EM_QC_UV,Alarm tracking UV module enclosure temperature.
CTRL_EM_QC_UV_INTENSITY_MON,CM-QC-UVM,QC UV Intensity Monitor,Monitoring,PLC-QC:K12:IM1203,EM_QC_UV,Monitoring logic logging UV intensity drift.
CTRL_EM_QC_FRACTION_POS_CTRL,CM-QC-FPOS,Fraction Collector Position Control,Regulatory,PLC-QC:K13:POS1301,EM_QC_FRACTION,Position loop aligning fraction collector arm.
CTRL_EM_QC_FRACTION_OVERFLOW,CM-QC-OFW,Fraction Overflow Protection,Safety,PLC-QC:K13:OF1302,EM_QC_FRACTION,Safety logic halting collection on overflow condition.
CTRL_EM_QC_FRACTION_SEQ,CM-QC-FSEQ,Fraction Tube Sequencer,Sequence,PLC-QC:K13:SEQ13,EM_QC_FRACTION,Sequence managing fraction tube indexing.
CTRL_EM_QC_FRACTION_JAM_ALARM,CM-QC-FALM,Fraction Rack Jam Alarm,Alarm,PLC-QC:K13:JAM1303,EM_QC_FRACTION,Alarm detecting jams in fraction rack mechanisms.
CTRL_EM_PILOT_CTRL_TEMP_PID,CM-PILOT-TEMP,Pilot Reactor Temperature PID,Regulatory,PLC-PILOT:K14:TIC1401,EM_PILOT_CTRL,Temperature PID loop for pilot reactor jacket.
CTRL_EM_PILOT_CTRL_PRESS_CTRL,CM-PILOT-PRES,Pilot Reactor Pressure Control,Regulatory,PLC-PILOT:K14:PIC1402,EM_PILOT_CTRL,Pressure control ensuring safe pilot reactor operation.
CTRL_EM_PILOT_CTRL_BATCH_SEQ,CM-PILOT-SEQ,Pilot Batch Sequencer,Sequence,PLC-PILOT:K14:SEQ14,EM_PILOT_CTRL,Sequencer orchestrating pilot batch procedural steps.
CTRL_EM_PILOT_CTRL_SAFETY,CM-PILOT-SIS,Pilot Emergency Shutdown,Safety,PLC-PILOT:K14:SIS1403,EM_PILOT_CTRL,Safety system tripping pilot reactor on critical events.
