key,tagNumber,name,description,area,facility,system,parentTag,classId,className,tagDiscipline,project,labels,classViewExtId,cfihosTagClassCode,avejaTagStatus,useProjectStatus,purchaseOrderNo,originatingContractor,dateInstalled,updatedDate
23-L-92601,23-L-92601,2nd Stage Suction Line 12in,12 inch suction line to 2nd stage compressor,23,Valhall PH,Gas Compression,VAL-PH-23-GC,PIPE,PipingAndPipelineEquipment,Piping,VRD,piping-equipment,PipingAndPipelineEquipment,PIPE-002,Active,N,PO-2008-007,Subsea 7,2009-05-01,2023-08-15
23-L-92701,23-L-92701,Gas Export Line 24in,24 inch gas export pipeline,23,Valhall PH,Gas Compression,VAL-PH-23-GC,PIPE,PipingAndPipelineEquipment,Piping,VRD,piping-equipment,PipingAndPipelineEquipment,PIPE-003,Active,N,PO-2007-010,Subsea 7,2008-12-01,2023-06-20
23-PT-92501,23-PT-92501,1st Stage Suction Pressure Transmitter,Pressure transmitter suction 1st stage compressor,23,Valhall PH,Gas Compression,VAL-PH-23-GC,INST,InstrumentEquipment,Instrument,VRD,instrument-equipment,InstrumentEquipment,INST-001,Active,N,PO-2009-020,Emerson,2009-10-01,2024-06-15
23-TT-96115-01,23-TT-96115-01,1st Stage Gear Thrust Bearing Temp,Temperature transmitter gear thrust bearing,23,Valhall PH,Gas Compression,VAL-PH-23-GC,INST,InstrumentEquipment,Instrument,VRD,instrument-equipment,InstrumentEquipment,INST-002,Active,N,PO-2009-020,Emerson,2009-10-01,2024-06-15
23-FT-92537,23-FT-92537,1st Stage Compressor Flow Transmitter,Flow transmitter 1st stage compressor,23,Valhall PH,Gas Compression,VAL-PH-23-GC,INST,InstrumentEquipment,Instrument,VRD,instrument-equipment,InstrumentEquipment,INST-003,Active,N,PO-2009-020,Emerson,2009-10-01,2024-06-15
23-LT-92521,23-LT-92521,1st Stage Scrubber Level Transmitter,Level transmitter 1st stage suction scrubber,23,Valhall PH,Gas Compression,23-LV-92521A,INST,InstrumentEquipment,Instrument,VRD,instrument-equipment,InstrumentEquipment,INST-004,Active,N,PO-2009-021,Emerson,2009-10-15,2024-06-15
23-PDT-92501,23-PDT-92501,1st Stage Suction Cooler dP Transmitter,Differential pressure transmitter suction cooler,23,Valhall PH,Gas Compression,23-HA-9103,INST,InstrumentEquipment,Instrument,VRD,instrument-equipment,InstrumentEquipment,INST-005,Active,N,PO-2009-021,Emerson,2009-10-15,2024-06-15
23-EL-9701,23-EL-9701,MV Motor 1st Stage Compressor Drive,Medium voltage motor for 1st stage compressor,23,Valhall PH,Electrical Distribution,VAL-PH-23-EL,ELEC,ElectricalEquipmentClass,Electrical,VRD,electrical-equipment,ElectricalEquipmentClass,ELEC-001,Active,N,PO-2008-015,ABB,2009-05-01,2024-07-01
23-EL-9702,23-EL-9702,UPS System Process Hall,Uninterruptible power supply process hall,23,Valhall PH,Electrical Distribution,VAL-PH-23-EL,ELEC,ElectricalEquipmentClass,Electrical,VRD,electrical-equipment,ElectricalEquipmentClass,ELEC-002,Active,N,PO-2009-015,Eaton,2010-01-15,2024-07-01
23-EL-9703,23-EL-9703,VFD 1st Stage Compressor,Variable frequency drive for 1st stage compressor,23,Valhall PH,Electrical Distribution,VAL-PH-23-EL,ELEC,ElectricalEquipmentClass,Electrical,VRD,electrical-equipment,ElectricalEquipmentClass,ELEC-003,Active,N,PO-2008-016,Siemens,2009-05-01,2024-07-01
23-ME-9801,23-ME-9801,Process Hall Overhead Crane 10T,10 tonne overhead crane process hall,23,Valhall PH,Utilities,VAL-PH-23-UT,MECH,MechanicalEquipmentClass,Mechanical,VRD,mechanical-equipment,MechanicalEquipmentClass,MECH-001,Active,N,PO-2008-020,Konecranes,2009-04-01,2024-01-20
23-ME-9802,23-ME-9802,Turbine Hall Overhead Crane 5T,5 tonne overhead crane turbine hall,23,Valhall PH,Utilities,VAL-PH-23-UT,MECH,MechanicalEquipmentClass,Mechanical,VRD,mechanical-equipment,MechanicalEquipmentClass,MECH-002,Active,N,PO-2008-020,Konecranes,2009-04-01,2023-09-15
23-DR-9901,23-DR-9901,Drilling Derrick Assembly,Main drilling derrick structure,23,Valhall PH,Drilling,VAL-PH-23-UT,DRIL,DrillingEquipment,Structure,VRD,drilling-equipment,DrillingEquipment,DRIL-001,Active,N,PO-2007-030,NOV,2008-06-01,2023-05-10
23-DR-9902,23-DR-9902,Top Drive System,Main top drive system,23,Valhall PH,Drilling,VAL-PH-23-UT,DRIL,DrillingEquipment,Rotating,VRD,drilling-equipment,DrillingEquipment,DRIL-002,Active,N,PO-2007-030,NOV,2008-06-01,2024-01-25
23-EN-8001,23-EN-8001,Electrical Equipment Room,Main electrical equipment room enclosure,23,Valhall PH,Electrical Distribution,VAL-PH-23-EL,ENCL,Enclosure,Electrical,VRD,electrical-equipment,Enclosure,ENCL-001,Active,N,PO-2007-025,Rittal,2008-10-01,2023-12-01
23-EN-8002,23-EN-8002,Instrument Equipment Room,Instrument equipment room enclosure,23,Valhall PH,Instrument,VAL-PH-23-GC,ENCL,Enclosure,Instrument,VRD,instrument-equipment,Enclosure,ENCL-002,Active,N,PO-2007-025,Rittal,2008-10-01,2023-12-01
23-HS-8101,23-HS-8101,Deluge Fire Protection Station A,Deluge system fire protection station A,23,Valhall PH,Fire Protection,VAL-PH-23-UT,HSEQ,HealthSafetyAndEnvironmentEquipmentClass,Safety,VRD,safety-equipment,HealthSafetyAndEnvironmentEquipmentClass,HSE-001,Active,N,PO-2008-030,Tyco,2009-03-01,2024-02-01
23-HS-8102,23-HS-8102,Emergency Shower Station,Emergency shower and eye wash station,23,Valhall PH,Safety,VAL-PH-23-UT,HSEQ,HealthSafetyAndEnvironmentEquipmentClass,Safety,VRD,safety-equipment,HealthSafetyAndEnvironmentEquipmentClass,HSE-002,Active,N,PO-2009-030,Hughes Safety,2010-01-15,2023-08-20
23-HS-8103,23-HS-8103,Gas Detection System,Combustible gas detection system area 23,23,Valhall PH,Safety,VAL-PH-23-UT,HSEQ,HealthSafetyAndEnvironmentEquipmentClass,Instrument,VRD,safety-equipment,HealthSafetyAndEnvironmentEquipmentClass,HSE-003,Active,N,PO-2008-031,Dräger,2009-03-01,2024-06-01
23-IF-8201,23-IF-8201,Platform Main Deck,Main deck structural module,23,Valhall PH,Structure,VAL-PH-23-UT,INFR,Infrastructure,Structure,VRD,infrastructure,Infrastructure,INFR-001,Active,N,,Aker Solutions,2008-01-01,2023-04-15
23-IF-8202,23-IF-8202,Module Support Structure,Compressor module support steel,23,Valhall PH,Structure,VAL-PH-23-GC,INFR,Infrastructure,Structure,VRD,infrastructure,Infrastructure,INFR-002,Active,N,,Aker Solutions,2008-01-01,2023-04-15
23-IF-8203,23-IF-8203,Helideck,Helideck platform structure,23,Valhall PH,Structure,VAL-PH-23-UT,INFR,Infrastructure,Structure,VRD,infrastructure,Infrastructure,INFR-003,Active,N,,Aker Solutions,2008-01-01,2023-04-15
23-IT-8301,23-IT-8301,Network Switch Cabinet A,Main network switch cabinet area 23,23,Valhall PH,Telecom,VAL-PH-23-UT,ITTL,ItAndTelecomEquipment,Telecom,VRD,telecom-equipment,ItAndTelecomEquipment,ITTL-001,Active,N,PO-2009-040,Cisco,2010-02-01,2024-03-15
23-IT-8302,23-IT-8302,PA/GA System Process Area,Public address and general alarm system,23,Valhall PH,Telecom,VAL-PH-23-UT,ITTL,ItAndTelecomEquipment,Telecom,VRD,telecom-equipment,ItAndTelecomEquipment,ITTL-002,Active,N,PO-2008-040,Zenitel,2009-05-01,2024-03-15
23-MI-8401,23-MI-8401,Lifting Sling Assembly,Certified lifting sling assembly 5T,23,Valhall PH,Utilities,VAL-PH-23-UT,MISC,MiscellaneousEquipment,Mechanical,VRD,mechanical-equipment,MiscellaneousEquipment,MISC-001,Active,N,PO-2010-050,Certex,2010-06-01,2024-01-10
23-MI-8402,23-MI-8402,Scaffolding Kit A,Standard scaffolding kit for maintenance,23,Valhall PH,Utilities,VAL-PH-23-UT,MISC,MiscellaneousEquipment,Mechanical,VRD,mechanical-equipment,MiscellaneousEquipment,MISC-002,Active,N,PO-2011-050,HAKI,2011-03-01,2023-07-20
48-SU-8501,48-SU-8501,Subsea Control Module A,Subsea control module wellhead A,48,Valhall PH,Subsea Systems,VAL-PH-48,SUBS,SubseaEquipmentClass,Subsea,VRD,subsea-equipment,SubseaEquipmentClass,SUBS-001,Active,N,PO-2007-050,Aker Solutions,2008-08-01,2024-04-20
48-SU-8502,48-SU-8502,Subsea Christmas Tree Well-1,Subsea christmas tree well 1,48,Valhall PH,Subsea Systems,VAL-PH-48,SUBS,SubseaEquipmentClass,Subsea,VRD,subsea-equipment,SubseaEquipmentClass,SUBS-002,Active,N,PO-2007-051,FMC Technologies,2008-10-01,2024-04-20
48-SU-8503,48-SU-8503,Subsea Manifold,Subsea production manifold,48,Valhall PH,Subsea Systems,VAL-PH-48,SUBS,SubseaEquipmentClass,Subsea,VRD,subsea-equipment,SubseaEquipmentClass,SUBS-003,Active,N,PO-2007-052,Aker Solutions,2008-10-01,2024-04-20
23-TL-8601,23-TL-8601,Hydraulic Torque Wrench 3/4in,Hydraulic torque wrench for flange bolting,23,Valhall PH,Utilities,VAL-PH-23-UT,TOOL,Tool,Mechanical,VRD,mechanical-equipment,Tool,TOOL-001,Active,N,PO-2010-060,Enerpac,2010-06-01,2024-02-01
23-TL-8602,23-TL-8602,Portable Gas Detector,Portable multi-gas detector for confined space,23,Valhall PH,Utilities,VAL-PH-23-UT,TOOL,Tool,Instrument,VRD,safety-equipment,Tool,TOOL-002,Active,N,PO-2010-061,Dräger,2010-07-01,2024-06-01
23-TE-96116-04,23-TE-96116-04,23-TE-96116-04,VRD - PH 1STSTGGEAR THRUST BRG OUT,23,Valhall PH,,23-DB-9101,4564,,TE,VRD,tag,Tag,,Active,N,8309,,26/06/2009 15:36,11/07/2014 09:25
23-TE-96148,23-TE-96148,23-TE-96148,VRD - PH 1STSTG COMP SEAL GAS HTR,23,Valhall PH,,23-TT-96148,4564,,TE,VRD,tag,Tag,,Active,N,8309,,26/06/2009 15:36,11/07/2014 09:25
23-YT-96117-01,23-YT-96117-01,23-YT-96117-01,VRD - PH 1STSTGGEAR 1 JOURNBRG DE,23,Valhall PH,,23-YE-96117-01,4627,,YT,VRD,tag,Tag,,Active,N,8309,,26/06/2009 15:36,09/12/2013 12:53
23-FI-96151,23-FI-96151,23-FI-96151,SOFT TAG VRD - PH 1STSTG PRIM SEAL LEAK DE,23,Valhall PH,,23-FT-96151,11275,,FI,VRD,tag,Tag,,Active,N,,,13/12/2012 14:13,09/10/2015 11:56
23-EZSM-92501A,23-EZSM-92501A,23-EZSM-92501A,VRD - PH 1STSTGSUCTCLR GAS IN,23,Valhall PH,,23-ESDV-92501A,9265,,EZSM,VRD,tag,Tag,,Active,N,8309,,26/06/2009 15:36,14/08/2015 14:36
23-TAHH-96115-01,23-TAHH-96115-01,23-TAHH-96115-01,VRD - PH 1STSTGGEAR THRUST BRG IN : TEMPERATURE ALARM HIGH HIGH,23,Valhall PH,,23-TE-96115-01,11405,,TAHH,VRD,tag,Tag,,Active,N,8309,,06/10/2015 12:18,06/10/2015 13:14
23-LEX-92529,23-LEX-92529,23-LEX-92529,VRD - PH 1STSTGSCRUB I-FACE,23,Valhall PH,,23-LE-92529,4606,,LEX,VRD,tag,Tag,,Active,N,8309,,05/10/2009 17:21,14/08/2015 14:36
23-TE-96131-01,23-TE-96131-01,23-TE-96131-01,VRD - PH 1STSTG MOTOR JOURN BRG NDE,23,Valhall PH,,23-KA-9101-M01,4564,,TE,VRD,tag,Tag,,Active,N,8309,,26/06/2009 15:36,14/08/2015 14:36
23-FO-96188,23-FO-96188,23-FO-96188,VRD - PH 1STSTG LUBE OIL PURGE GAS,23,Valhall PH,,23-TX-9103,4390,,FO,VRD,tag,Tag,,Active,N,8309,,26/06/2009 15:36,09/12/2013 12:53
23-VG-9101,23-VG-9101,23-VG-9101,VRD - 1ST STAGE SUCTION SCRUBBER,23,Valhall PH,,23-1ST STAGE COMPRESSION-PH,6330,,VG,VRD,tag,Tag,,Active,N,8309,,26/06/2009 15:36,08/10/2015 15:05
23-PIC-92538-06,23-PIC-92538-06,23-PIC-92538-06,SOFT TAG VRD - PH 1STSTGCOMP SUCTION STV,23,Valhall PH,,23-PV-92538,11275,,PIC,VRD,tag,Tag,,Active,N,,,16/05/2013 11:50,09/10/2015 11:56
23-XY-92748-04,23-XY-92748-04,23-XY-92748-04,VRD - PH OFFGAS TO 1STSTGSUCTCOOLER,23,Valhall PH,,23-XV-92748,6213,,XY,VRD,tag,Tag,,Active,N,8309,,26/06/2009 15:36,14/08/2015 14:36
45-FT-92139A,45-FT-92139A,45-FT-92139A,VRD - PH 1STSTGCOMPR MTR COOLMED OUT,45,Valhall PH,,23-KA-9101-M01,4400,,FT,VRD,tag,Tag,,Active,N,8309,,26/06/2009 15:36,09/12/2013 12:53
23-YI-96119-01,23-YI-96119-01,23-YI-96119-01,SOFT TAG VRD - PH 1STSTGGEAR 2 JOURNBRG NDE,23,Valhall PH,,23-YE-96119-01,11275,,YI,VRD,tag,Tag,,Active,N,,,13/12/2012 14:18,09/10/2015 11:56
23-PIC-92538-02,23-PIC-92538-02,23-PIC-92538-02,SOFT TAG VRD - PH 1STSTGCOMP SUCTION STV,23,Valhall PH,,23-PV-92538,11275,,PIC,VRD,tag,Tag,,Active,N,,,16/05/2013 11:50,09/10/2015 11:56
23-ZS-96142A,23-ZS-96142A,23-ZS-96142A,VRD - PH 1STSTG COMPR ENCL DOOR A,23,Valhall PH,,23-1ST STAGE COMP ENCLOSURE-PH,4642,,ZS,VRD,tag,Tag,,Active,N,8309,,26/06/2009 15:36,09/12/2013 12:53
23-PAH-96149-02,23-PAH-96149-02,23-PAH-96149-02,VRD - PH 1STSTG COMP INNER SEAL DE : PRESSURE ALARM HIGH,23,Valhall PH,,23-PT-96149-02,11405,,PAH,VRD,tag,Tag,,Active,N,8309,,06/10/2015 12:18,06/10/2015 13:14
23-PAH-96157-01,23-PAH-96157-01,23-PAH-96157-01,VRD - PH 1STSTG COMP OUTER SEAL NDE : PRESSURE ALARM HIGH,23,Valhall PH,,23-PT-96157-01,11405,,PAH,VRD,tag,Tag,,Active,N,8309,,06/10/2015 12:18,06/10/2015 13:14
23-TE-96103-01,23-TE-96103-01,23-TE-96103-01,VRD - PH 1STSTG COMP THRUST BRG IN,23,Valhall PH,,23-KA-9101,4564,,TE,VRD,tag,Tag,,Active,N,8309,,26/06/2009 15:36,11/07/2014 09:25
23-YPSV-92526,23-YPSV-92526,23-YPSV-92526,VRD - PH 1STSTGSUCTSCRUB B/D,23,Valhall PH,,23-YSV-92526,11517,,YPSV,VRD,tag,Tag,,Active,N,8309,,26/06/2009 15:36,16/12/2016 07:52
23-TE-96113-04,23-TE-96113-04,23-TE-96113-04,VRD - PH 1STSTGGEAR 2 JOURNBRG NDE,23,Valhall PH,,23-DB-9101,4564,,TE,VRD,tag,Tag,,Active,N,8309,,26/06/2009 15:36,11/07/2014 09:25
23-FE-9106-39,23-FE-9106-39,23-FE-9106-39,VRD - PH 1ST STG COMP LO HTR ON,23,Valhall PH,,23-FE-9106,6177,,FE,VRD,tag,Tag,,Active,N,,,09/05/2012 17:17,09/10/2015 11:56
23-TE-92604B,23-TE-92604B,23-TE-92604B,VRD - PH 1STSTGDISCCOOL COOLMED IN,23,Valhall PH,,23-HA-9114,4564,,TE,VRD,tag,Tag,,Inactive,N,,,05/04/2013 15:12,08/10/2015 08:48
23-TT-92532-MB,23-TT-92532-MB,23-TT-92532-MB,SOFT TAG VRD - PH 1STSTGCOMP SUCTION,23,Valhall PH,,23-TT-92532,11275,,TT,VRD,tag,Tag,,Active,N,,,23/04/2013 10:10,09/10/2015 11:56
60-EN-9011A+80E2,60-EN-9011A+80E2,60-EN-9011A+80E2,FEEDER THYRISTOR +82B SEAL GAS HEATER FOR 1 ST STAGE COMP.,60,Valhall PH,,23-FE-9122,4291,,EN,VRD,tag,Tag,,Active,N,,,05/04/2013 15:12,25/07/2017 10:10
23-PIC-92538-11,23-PIC-92538-11,23-PIC-92538-11,SOFT TAG VRD - PH 1STSTGCOMP SUCTION STV,23,Valhall PH,,23-PV-92538,11275,,PIC,VRD,tag,Tag,,Active,N,,,16/05/2013 11:50,09/10/2015 11:56
48-TSL-96960,48-TSL-96960,48-TSL-96960,VRD - PH 1STSTG COMPR WATER MIST,48,Valhall PH,,48-SU-9113,4577,,TSL,VRD,tag,Tag,,Inactive,N,,,26/06/2009 15:36,08/10/2015 10:03
23-LSHH-96138 (2),23-LSHH-96138 (2),23-LSHH-96138 (2),VRD PH,23,Valhall PH,,23-KA-9101-M01,4465,,LSHH,VRD,tag,Tag,,Inactive,N,,,13/12/2012 14:13,26/09/2014 12:52
23-ZAHH-96107-01,23-ZAHH-96107-01,23-ZAHH-96107-01,VRD - PH 1STSTGCOMP SHAFT AXIAL POS : POSITION ALARM HIGH HIGH,23,Valhall PH,,23-ZT-96107-01,11405,,ZAHH,VRD,tag,Tag,,Active,N,8309,,06/10/2015 12:18,06/06/2016 08:48
23-PAH-92539,23-PAH-92539,23-PAH-92539,VRD - PH 1STSTGCOMP DISCHARGE : PRESSURE ALARM HIGH,23,Valhall PH,,23-PT-92539,11405,,PAH,VRD,tag,Tag,,Active,N,8309,,16/05/2013 11:50,06/10/2015 12:28
23-YAHH-96117-02,23-YAHH-96117-02,23-YAHH-96117-02,VRD - PH 1STSTGGEAR 1 JOURNBRG DE : VIBRATION ALARM HIGH HIGH,23,Valhall PH,,23-YT-96117-02,11405,,YAHH,VRD,tag,Tag,,Active,N,8309,,16/05/2013 11:50,06/10/2015 12:28
23-YT-96105-01,23-YT-96105-01,23-YT-96105-01,VRD - PH 1STSTG COMPR JOURN BRG NDE,23,Valhall PH,,23-YE-96105-01,4627,,YT,VRD,tag,Tag,,Active,N,8309,,26/06/2009 15:36,26/01/2017 08:31
23-PT-96153,23-PT-96153,23-PT-96153,VRD - PH 1STSTG COMP INNER SEAL,23,Valhall PH,,23-PV-96153,4525,,PT,VRD,tag,Tag,,Active,N,8309,,26/06/2009 15:36,09/12/2013 12:53
23-FO-96159,23-FO-96159,23-FO-96159,VRD - PH 1STSTG COMP BUFFER GAS NDE,23,Valhall PH,,23-CB-9129A,4390,,FO,VRD,tag,Tag,,Active,N,8309,,26/06/2009 15:36,09/12/2013 12:53
23-TAHH-96181-01,23-TAHH-96181-01,23-TAHH-96181-01,VRD - PH 1STSTG COMP LO HEADER : TEMPERATURE ALARM HIGH HIGH,23,Valhall PH,,23-TT-96181-01,11405,,TAHH,VRD,tag,Tag,,Active,N,8309,,06/10/2015 12:18,06/10/2015 13:14
23-ESDV-92551B-PST,23-ESDV-92551B-PST,23-ESDV-92551B-PST,SOFT TAG VRD - PH 1STSTGDISCHCLR GAS OUT EQ,23,Valhall PH,,23-ESDV-92551B,11275,,ESDV,VRD,tag,Tag,,Active,N,,,23/04/2013 10:10,09/10/2015 11:56
23-TAHH-96104-01,23-TAHH-96104-01,23-TAHH-96104-01,VRD - PH 1STSTG COMP THRUST BRG OUT : TEMPERATURE ALARM HIGH HIGH,23,Valhall PH,,23-TE-96104-01,11405,,TAHH,VRD,tag,Tag,,Active,N,8309,,06/10/2015 12:18,06/10/2015 13:14
23-PAL-96160,23-PAL-96160,23-PAL-96160,SOFT TAG VRD - PH 1STSTG COMP SEPAR GAS,23,Valhall PH,,23-PCV-96160,11275,,PAL,VRD,tag,Tag,,Active,N,,,23/04/2013 10:10,09/10/2015 11:56
23-EZSH-92501B,23-EZSH-92501B,23-EZSH-92501B,VRD - PH 1STSTGSUCTCLR GAS IN EQUAL,23,Valhall PH,,23-ESDV-92501B,4643,,EZSH,VRD,tag,Tag,,Active,N,8309,,26/06/2009 15:36,14/08/2015 14:36
23-TI-96114-03,23-TI-96114-03,23-TI-96114-03,SOFT TAG VRD - PH 1STSTGGEAR 2 JOURNBRG DE,23,Valhall PH,,23-TE-96114-03,11275,,TI,VRD,tag,Tag,,Active,N,,,13/12/2012 14:16,09/10/2015 11:56
23-TAHH-92604A,23-TAHH-92604A,23-TAHH-92604A,VRD - PH 1STSTGDISCCOOL GAS OUT : TEMPERATURE ALARM HIGH HIGH,23,Valhall PH,,23-TT-92604A,11405,,TAHH,VRD,tag,Tag,,Active,N,,,16/05/2013 11:50,06/10/2015 12:28
23-PDI-92501,23-PDI-92501,23-PDI-92501,SOFT TAG VRD - PH 1STSTGSUCTCOOL GAS IN ESDV,23,Valhall PH,,23-PDT-92501,11275,,PDI,VRD,tag,Tag,,Active,N,,,13/12/2012 14:13,09/10/2015 11:56
23-FE-9106A,23-FE-9106A,23-FE-9106A,VRD - 1ST STAGE COMPRESSOR LUBE OIL HEATER,23,Valhall PH,,23-TX-9103,6255,,FE,VRD,tag,Tag,,Inactive,N,,,22/09/2010 17:10,27/01/2014 13:42
23-ZT-96107-03,23-ZT-96107-03,23-ZT-96107-03,VRD - PH 1STSTGCOMP SHAFT AXIAL POS,23,Valhall PH,,23-ZE-96107-03,4649,,ZT,VRD,tag,Tag,,Active,N,8309,,26/06/2009 15:36,09/12/2013 12:53
23-HS-92521,23-HS-92521,23-HS-92521,VRD - PH 1STSTGSUCTSCRUBBER-SELECTOR,23,Valhall PH,,23-VG-9101,4414,,HS,VRD,tag,Tag,,Active,N,,,25/10/2010 16:17,09/12/2013 12:53
