key,operation_id,operation_name,sequence_number,batch_externalId,unit_procedure_externalId,asset_externalIds,equipment_externalIds,timeseries_externalIds,description,startTime,endTime,scheduledStartTime,scheduledEndTime
OP_FILL_BULK_DRAIN,OP-FILL-BULK-DRAIN,Fill Bulk Drain Operation,20,BATCH-FILL-2024-003,UP-FILL-BULK,UNIT_FILL_TANK|EM_FILL_PUMP|ENT_EU,EQ_FILL_PUMP_CONTROL_PANEL|EQ_FILL_PUMP_TEMP_SENSOR|EQ_FILL_TRANSFER_PUMP,TS_FILL_PANEL_STATUS|TS_FILL_PUMP_TEMP|TS_FILL_PUMP_CURRENT,Fill Bulk Drain Operation orchestrates UP-FILL-BULK during batch BATCH-FILL-2024-003,2024-01-14T05:00:00Z,2024-01-14T05:20:00Z,2024-01-14T04:50:00Z,2024-01-14T05:15:00Z
OP_FILL_V3_COMMISSION,OP-FILL-V3-COMMISSION,Fill Version Three Commission Operation,10,BATCH-FILL-DEV-018,UP-FILL-V3,UNIT_FILL_TANK|EM_FILL_PUMP|AREA_FILL,EQ_FILL_PUMP_VFD|EQ_FILL_PUMP_CONTROL_PANEL|EQ_FILL_TRANSFER_PUMP,TS_FILL_VFD_SPEED|TS_FILL_PANEL_STATUS|TS_FILL_PUMP_FLOW,Fill Version Three Commission Operation orchestrates UP-FILL-V3 during batch BATCH-FILL-DEV-018,2024-05-20T04:00:00Z,2024-05-20T04:20:00Z,2024-05-20T03:50:00Z,2024-05-20T04:15:00Z
OP_FILL_STERILE_FLUSH,OP-FILL-STERILE-FLUSH,Sterile Flush Operation,10,BATCH-FILL-2024-010,UP-FILL-STERILE,UNIT_FILL_TANK|EM_FILL_PUMP|SITE_OSL,EQ_FILL_TRANSFER_PUMP|EQ_FILL_PUMP_TEMP_SENSOR|EQ_FILL_PUMP_LEVEL_SWITCH,TS_FILL_PUMP_FLOW|TS_FILL_PUMP_TEMP|TS_FILL_PUMP_PRESS,Sterile Flush Operation orchestrates UP-FILL-STERILE during batch BATCH-FILL-2024-010,2024-01-19T05:10:00Z,2024-01-19T05:30:00Z,2024-01-19T05:00:00Z,2024-01-19T05:25:00Z
OP_FILL_REWORK_SORT,OP-FILL-REWORK-SORT,Fill Rework Sorting Operation,10,BATCH-FILL-REWORK-011,UP-FILL-REWORK,UNIT_FILL_TANK|EM_FILL_PUMP|AREA_FILL,EQ_FILL_TRANSFER_PUMP|EQ_FILL_PUMP_PRESSURE_TRANSMITTER|EQ_FILL_PUMP_FLOWMETER,TS_FILL_PUMP_PRESS|TS_FILL_PUMP_FLOW|TS_FILL_PUMP_CURRENT,Fill Rework Sorting Operation orchestrates UP-FILL-REWORK during batch BATCH-FILL-REWORK-011,2024-03-06T03:30:00Z,2024-03-06T03:50:00Z,2024-03-06T03:20:00Z,2024-03-06T03:45:00Z
OP_FILL_CIP_CIRC,OP-FILL-CIP-CIRC,Fill CIP Circulation Operation,10,BATCH-FILL-CIP-012,UP-FILL-CIP,UNIT_FILL_TANK|EM_FILL_PUMP|PC_FILL1,EQ_FILL_PUMP_CONTROL_PANEL|EQ_FILL_PUMP_LEVEL_SWITCH|EQ_FILL_PUMP_VFD,TS_FILL_PANEL_STATUS|TS_FILL_VFD_SPEED|TS_FILL_PUMP_PRESS,Fill CIP Circulation Operation orchestrates UP-FILL-CIP during batch BATCH-FILL-CIP-012,2024-02-03T04:45:00Z,2024-02-03T05:05:00Z,2024-02-03T04:35:00Z,2024-02-03T05:00:00Z
OP_R12_CIP_RINSE,OP-R12-CIP-RINSE,R12 CIP Rinse Operation,10,BATCH-CIP-2024-005,UP-R12-CIP-RINSE,UNIT_R12|EM_R12_CHARGE|PC_CELLA|AREA_BIO,EQ_R12_CHARGE_PUMP|EQ_R12_CHARGE_CONTROL_PANEL|EQ_R12_CHARGE_VFD,TS_R12_PANEL_STATUS|TS_R12_VFD_SPEED|TS_R12_CHARGE_FLOW,R12 CIP Rinse Operation orchestrates UP-R12-CIP-RINSE during batch BATCH-CIP-2024-005,2024-01-16T05:45:00Z,2024-01-16T06:05:00Z,2024-01-16T05:35:00Z,2024-01-16T06:00:00Z
OP_R12_CIP_PASSIV,OP-R12-CIP-PASSIV,R12 CIP Passivation Operation,20,BATCH-CIP-2024-016,UP-R12-CIP-PASSIV,UNIT_R12|EM_R12_CHARGE|ENT_EU,EQ_R12_CHARGE_SAFETY_VALVE|EQ_R12_CHARGE_CONTROL_PANEL|EQ_R12_CHARGE_TEMP_SENSOR,TS_R12_SAFETY_STATE|TS_R12_PANEL_STATUS|TS_R12_CHARGE_TEMP,R12 CIP Passivation Operation orchestrates UP-R12-CIP-PASSIV during batch BATCH-CIP-2024-016,2024-04-27T07:00:00Z,2024-04-27T07:20:00Z,2024-04-27T06:50:00Z,2024-04-27T07:15:00Z
OP_QC_CHROM_LOAD,OP-QC-CHROM-LOAD,QC Chromatography Load Operation,10,BATCH-QC-2024-004,UP-QC-CHROM,UNIT_QC1|EM_QC_CHROM|AREA_LAB|SITE_LDN,EQ_QC_CHROM_SYSTEM|EQ_QC_CHROM_PUMP|EQ_QC_CHROM_COLUMN|EQ_QC_CHROM_CONTROLLER|EQ_QC_CHROM_DATA_SYSTEM|EQ_QC_FRACTION_COLLECTOR,TS_QC_CHROM_PRESS|TS_QC_CHROM_FLOW|TS_QC_CHROM_VALVE_POS|TS_QC_DATA_SYSTEM_STATUS|TS_QC_FRACTION_WEIGHT|TS_QC_FRACTION_PUMP_SPEED,QC Chromatography Load Operation orchestrates UP-QC-CHROM during batch BATCH-QC-2024-004,2024-01-05T09:10:00Z,2024-01-05T09:30:00Z,2024-01-05T09:00:00Z,2024-01-05T09:25:00Z
OP_QC_STABILITY_PREP,OP-QC-STABILITY-PREP,QC Stability Preparation Operation,10,BATCH-QC-STAB-013,UP-QC-STABILITY,UNIT_QC1|EM_QC_CHROM|EM_QC_FRACTION|SITE_LDN,EQ_QC_CHROM_DATA_SYSTEM|EQ_QC_FRACTION_CONTROLLER|EQ_QC_FRACTION_STORAGE|EQ_QC_FRACTION_LOGGER,TS_QC_DATA_SYSTEM_STATUS|TS_QC_FRACTION_WEIGHT|TS_QC_FRACTION_PUMP_SPEED,QC Stability Preparation Operation orchestrates UP-QC-STABILITY during batch BATCH-QC-STAB-013,2024-03-23T10:00:00Z,2024-03-23T10:20:00Z,2024-03-23T09:50:00Z,2024-03-23T10:15:00Z
OP_QC_MICRO_DISPENSE,OP-QC-MICRO-DISPENSE,QC Micro Media Dispense Operation,10,BATCH-QC-MICRO-014,UP-QC-MICRO,UNIT_QC1|EM_QC_UV|EM_QC_FRACTION|AREA_LAB,EQ_QC_UV_DETECTOR|EQ_QC_UV_LAMP|EQ_QC_UV_POWER_SUPPLY|EQ_QC_UV_MONITOR|EQ_QC_UV_COOLING_FAN,TS_QC_UV_INTENSITY|TS_QC_UV_LAMP_TEMP|TS_QC_UV_POWER_LOAD|TS_QC_UV_COOLANT_TEMP|TS_QC_UV_MONITOR_GAIN|TS_QC_UV_LAMP_STATUS,QC Micro Media Dispense Operation orchestrates UP-QC-MICRO during batch BATCH-QC-MICRO-014,2024-04-15T07:40:00Z,2024-04-15T08:00:00Z,2024-04-15T07:30:00Z,2024-04-15T07:55:00Z
OP_BLDR_MAIN_MIX,OP-BLDR-MAIN-MIX,Blender Main Mixing Operation,10,BATCH-BLDR-015,UP-BLDR-MAIN,UNIT_BLDR|EM_BLDR_MOTOR|AREA_PACK|SITE_AUS,EQ_BLDR_MOTOR_DRIVE|EQ_BLDR_MOTOR_ASSEMBLY|EQ_BLDR_MOTOR_TEMP_SENSOR|EQ_BLDR_MOTOR_VIBRATION|EQ_BLDR_MOTOR_GEARBOX|EQ_BLDR_MOTOR_BRAKE|EQ_BLDR_MOTOR_FILTER,TS_BLDR_MOTOR_SPEED|TS_BLDR_TORQUE|TS_BLDR_VIBRATION|TS_BLDR_FILTER_DP|TS_BLDR_BRAKE_TEMP,Blender Main Mixing Operation orchestrates UP-BLDR-MAIN during batch BATCH-BLDR-015,2024-04-01T08:20:00Z,2024-04-01T08:40:00Z,2024-04-01T08:10:00Z,2024-04-01T08:35:00Z
OP_BLDR_FINISH_DISCHARGE,OP-BLDR-FINISH-DISCHARGE,Blender Final Discharge Operation,20,BATCH-BLDR-016,UP-BLDR-FINISH,UNIT_BLDR|EM_BLDR_MOTOR|ENT_US,EQ_BLDR_MOTOR_DRIVE|EQ_BLDR_MOTOR_VIBRATION|EQ_BLDR_MOTOR_TEMP_SENSOR,TS_BLDR_VIBRATION|TS_BLDR_MOTOR_SPEED|TS_BLDR_TORQUE,Blender Final Discharge Operation orchestrates UP-BLDR-FINISH during batch BATCH-BLDR-016,2023-07-05T09:15:00Z,2023-07-05T09:35:00Z,2023-07-05T09:05:00Z,2023-07-05T09:30:00Z
OP_PACK_LABEL_APPLY,OP-PACK-LABEL-APPLY,Packaging Label Apply Operation,10,BATCH-PACK-017,UP-PACK-LABEL,UNIT_CONV1|EM_CONV_DRV1|PC_PACK1|AREA_PACK|SITE_AUS,EQ_CONV1_DRIVE|EQ_CONV1_SPEED_SENSOR|EQ_CONV1_CONTROL_PANEL|EQ_CONV1_MOTOR|EQ_CONV1_VFD|EQ_CONV1_SAFETY_SCANNER|EQ_CONV1_PHOTOEYE,TS_CONV_SPEED|TS_CONV_PANEL_MODE|TS_CONV_VFD_LOAD|TS_CONV_SCANNER_STATE,Packaging Label Apply Operation orchestrates UP-PACK-LABEL during batch BATCH-PACK-017,2024-02-09T09:00:00Z,2024-02-09T09:20:00Z,2024-02-09T08:50:00Z,2024-02-09T09:15:00Z
OP_QA_INSPECT,OP-QA-INSPECT,QA Inspection Operation,10,BATCH-QC-STAB-013,,UNIT_QA1|EM_QA_SENS|AREA_QUALITY|SITE_OSL,EQ_QA_SENSOR_ARRAY|EQ_QA_DATA_LOGGER|EQ_QA_PH_SENSOR|EQ_QA_CONDUCTIVITY_SENSOR|EQ_QA_TURBIDITY_METER|EQ_QA_SPECTROMETER|EQ_QA_HUMIDITY_LOGGER,TS_QA_PH|TS_QA_CONDUCTIVITY|TS_QA_TURBIDITY|TS_QA_HUMIDITY|TS_QA_SENSOR_STATE|TS_QA_LOGGER_MEMORY|TS_QA_SPECTRAL_INTENSITY,QA Inspection Operation orchestrates UNIT_QA1 during batch BATCH-QC-STAB-013,2024-03-23T10:30:00Z,2024-03-23T10:50:00Z,2024-03-23T10:20:00Z,2024-03-23T10:45:00Z
OP_COMP_MONITOR,OP-COMP-MONITOR,Compressor Monitoring Operation,10,BATCH-CIP-2024-016,,UNIT_COMP|EM_COMP_CTRL|PC_MAINT|AREA_MAINT|SITE_BER,EQ_COMPRESSOR_CTRL|EQ_COMPRESSOR_BACKUP_CTRL|EQ_COMPRESSOR_PRESSURE_TX|EQ_COMPRESSOR_TEMP_SENSOR|EQ_COMPRESSOR_VIBRATION_MON|EQ_COMPRESSOR_OIL_PUMP|EQ_COMPRESSOR_SIS,TS_COMP_DISCH_PRESS|TS_COMP_VIBRATION|TS_COMP_BEARING_TEMP|TS_COMP_SIS_STATE|TS_COMP_BACKUP_STATUS|TS_COMP_CTRL_MODE,Compressor Monitoring Operation orchestrates UNIT_COMP during batch BATCH-CIP-2024-016,2024-04-27T06:00:00Z,2024-04-27T06:20:00Z,2024-04-27T05:50:00Z,2024-04-27T06:15:00Z
OP_R14_HEAT_MONITOR,OP-R14-HEAT-MONITOR,R14 Heater Monitoring Operation,10,BATCH-CIP-2024-016,,UNIT_R14|EM_R14_HEAT|PC_CELLA|AREA_BIO|SITE_BAS,EQ_R14_HEATER|EQ_R14_HEATER_CONTROLLER|EQ_R14_HEATER_TEMP_SENSOR|EQ_R14_HEATER_PRESSURE_TX|EQ_R14_HEATER_FLOW_SWITCH|EQ_R14_HEATER_VFD|EQ_R14_HEATER_SAFETY_RELAY,TS_R14_HEATER_TEMP|TS_R14_HEATER_POWER|TS_R14_VFD_SPEED|TS_R14_FLOW_SWITCH_STATE,R14 Heater Monitoring Operation orchestrates UNIT_R14 during batch BATCH-CIP-2024-016,2024-04-27T06:30:00Z,2024-04-27T06:50:00Z,2024-04-27T06:20:00Z,2024-04-27T06:45:00Z
OP_R15_MANIFOLD_CONTROL,OP-R15-MANIFOLD-CONTROL,R15 Manifold Control Operation,10,BATCH-R13-2024-008,,UNIT_R15|EM_R15_VALVE|PC_CELLA_C|AREA_BIO|SITE_BAS,EQ_R15_VALVE_MANIFOLD|EQ_R15_VALVE_ACTUATOR|EQ_R15_VALVE_POSITIONER|EQ_R15_VALVE_PRESSURE_TX|EQ_R15_VALVE_TEMP_SENSOR|EQ_R15_VALVE_SAFETY_VALVE|EQ_R15_VALVE_CONTROL_PANEL,TS_R15_VALVE_POSITION|TS_R15_MANIFOLD_PRESS|TS_R15_ACTUATOR_PRESS|TS_R15_POSITIONER_STATE,R15 Manifold Control Operation orchestrates UNIT_R15 during batch BATCH-R13-2024-008,2024-03-15T06:40:00Z,2024-03-15T07:00:00Z,2024-03-15T06:30:00Z,2024-03-15T06:55:00Z
OP_PILOT_REACT_CONTROL,OP-PILOT-REACT-CONTROL,Pilot Reactor Control Operation,10,BATCH-FILL-DEV-018,,UNIT_PILOT_REACT|EM_PILOT_CTRL|PC_PILOT1|AREA_PILOT|SITE_SF,EQ_PILOT_CONTROLLER|EQ_PILOT_INTERLOCK|EQ_PILOT_DATA_LOGGER|EQ_PILOT_PRESSURE_TX|EQ_PILOT_TEMP_SENSOR|EQ_PILOT_FLOWMETER|EQ_PILOT_CONTROL_PANEL,TS_PILOT_REACTOR_TEMP|TS_PILOT_REACTOR_PRESS|TS_PILOT_FLOW|TS_PILOT_CONTROLLER_OUTPUT|TS_PILOT_CONTROLLER_MODE|TS_PILOT_INTERLOCK_STATE|TS_PILOT_LOGGER_CPU|TS_PILOT_FLOW_DENSITY|TS_PILOT_PANEL_TEMP,Pilot Reactor Control Operation orchestrates UNIT_PILOT_REACT during batch BATCH-FILL-DEV-018,2024-05-20T04:30:00Z,2024-05-20T04:50:00Z,2024-05-20T04:20:00Z,2024-05-20T04:45:00Z
OP_BLDR_PANEL_MONITOR,OP-BLDR-PANEL-MONITOR,Blender Control Panel Monitoring Operation,10,BATCH-BLDR-015,UP-BLDR-MAIN,UNIT_BLDR|EM_BLDR_CTRL|AREA_PACK|SITE_AUS,EQ_BLDR_CONTROL_PANEL|EQ_BLDR_CONTROL_HMI|EQ_BLDR_CONTROL_PLC|EQ_BLDR_CONTROL_IO|EQ_BLDR_CONTROL_NETWORK|EQ_BLDR_CONTROL_POWER_SUPPLY|EQ_BLDR_CONTROL_SAFETY_RELAY|EQ_BLDR_CONTROL_DATA_LOGGER,TS_BLDR_PANEL_STATE|TS_BLDR_HMI_ALARMS|TS_BLDR_FILTER_DP|TS_BLDR_SAFETY_SWITCH|TS_BLDR_BRAKE_TEMP,Blender Control Panel Monitoring Operation orchestrates UP-BLDR-MAIN during batch BATCH-BLDR-015,2024-04-01T08:50:00Z,2024-04-01T09:10:00Z,2024-04-01T08:40:00Z,2024-04-01T09:05:00Z
OP_QC_CHROM_MAINT,OP-QC-CHROM-MAINT,QC Chromatography Maintenance Operation,30,BATCH-QC-2024-004,UP-QC-CHROM,UNIT_QC1|EM_QC_CHROM|SITE_LDN|AREA_LAB,EQ_QC_CHROM_PUMP|EQ_QC_CHROM_CONTROLLER|EQ_QC_CHROM_SYSTEM|EQ_QC_CHROM_DATA_SYSTEM,TS_QC_CHROM_SYS_STATE|TS_QC_CHROM_PUMP_CURRENT|TS_QC_CHROM_PRESS|TS_QC_CHROM_FLOW|TS_QC_DATA_SYSTEM_STATUS,QC Chromatography Maintenance Operation orchestrates UP-QC-CHROM during batch BATCH-QC-2024-004,2024-01-05T09:40:00Z,2024-01-05T10:00:00Z,2024-01-05T09:30:00Z,2024-01-05T09:55:00Z
OP_CONV_WAREHOUSE_SCAN,OP-CONV-WAREHOUSE-SCAN,Warehouse Conveyor Scan Operation,30,BATCH-PACK-017,UP-PACK-LABEL,PC_WARE1|AREA_WARE|SITE_AUS|UNIT_CONV1|EM_CONV_DRV1,EQ_CONV1_SPEED_SENSOR|EQ_CONV1_SAFETY_SCANNER|EQ_CONV1_PHOTOEYE|EQ_CONV1_CONTROL_PANEL|EQ_CONV1_MOTOR|EQ_CONV1_VFD,TS_CONV_MOTOR_TEMP|TS_CONV_SCANNER_STATE|TS_CONV_SPEED|TS_CONV_PANEL_MODE|TS_CONV_VFD_LOAD,Warehouse Conveyor Scan Operation orchestrates UP-PACK-LABEL during batch BATCH-PACK-017,2024-02-09T09:30:00Z,2024-02-09T09:50:00Z,2024-02-09T09:20:00Z,2024-02-09T09:45:00Z
