key,name,description,externalId,timeSeriesType,assetName,facility,assetDescription,isString,isStep,pi_tag,pi_pointId,pi_sourceTag,pi_pointSource,pi_archiving,engunits,asset_externalId,sourceId,source
pi:160765,23-TE-96137-01:X.Value,PH 1stStg Mtr Cold Air,VAL_23-TE-96137-01:X.Value,PI,23-TE-96137-01,,PH 1stStg Mtr Cold Air,FALSE,FALSE,VAL_23-TE-96137-01:X.Value,160765,,VLH_PCN1,1,,23-TE-96137-01,pi:160765,akerbp
pi:160785,23-TIC-92604:Control Module:PD,PH 1stStgDiscCool Gas Out Derivate time,VAL_23-TIC-92604:Control Module:PD,PI,23-TIC-92604,,PH 1stStgDiscCool Gas Out Derivate time,FALSE,FALSE,VAL_23-TIC-92604:Control Module:PD,160785,,LAB-WAS-VAL800,1,s,23-TIC-92604,pi:160785,akerbp
pi:160223,23-KA-9101_EPR:VALUE,PH (CBM) 1st Stage ExpPress Ratio,VAL_23-KA-9101_EPR:VALUE,PI,23-KA-9101,,PH (CBM) 1st Stage ExpPress Ratio,FALSE,FALSE,VAL_23-KA-9101_EPR:VALUE,160223,,VLH_PCN5,1,,23-KA-9101,pi:160223,akerbp
pi:163659,45-TT-92607B:X.Value,PH 1stStgDiscClr CoolMed Out,VAL_45-TT-92607B:X.Value,PI,45-TT-92607B,,PH 1stStgDiscClr CoolMed Out,FALSE,FALSE,VAL_45-TT-92607B:X.Value,163659,,VLH_PCN1,1,,45-TT-92607B,pi:163659,akerbp
pi:160179,23-FI-92512A:X.Value,PH 1stStgSuctCool Gas In (Norm),VAL_23-FI-92512A:X.Value,PI,23-FI-92512A,,PH 1stStgSuctCool Gas In (Norm),FALSE,FALSE,VAL_23-FI-92512A:X.Value,160179,,LAB-WAS-VAL,1,,23-FI-92512A,pi:160179,akerbp
pi:160775,23-TIC-92504:Control Module:BX,PH 1stStgSuctCool Gas Out External,VAL_23-TIC-92504:Control Module:BX,PI,23-TIC-92504,,PH 1stStgSuctCool Gas Out External,FALSE,FALSE,VAL_23-TIC-92504:Control Module:BX,160775,,VLH_PCN1,1,-,23-TIC-92504,pi:160775,akerbp
pi:160632,23-PDT-92551:X.Value,PH 1stStgDiscCool Gas Out ESDV,VAL_23-PDT-92551:X.Value,PI,23-PDT-92551,,PH 1stStgDiscCool Gas Out ESDV,FALSE,FALSE,VAL_23-PDT-92551:X.Value,160632,,VLH_PCN1,1,,23-PDT-92551,pi:160632,akerbp
pi:160560,23-LY-92529_Outputs_sandLevel:VALUE,PH (Profiler) % Scaled Level Output for Level F or Sand,VAL_23-LY-92529_Outputs_sandLevel:VALUE,PI,23-LE-92529,,PH (Profiler) % Scaled Level Output for Level F or Sand,FALSE,FALSE,VAL_23-LY-92529_Outputs_sandLevel:VALUE,160560,,VLH_PCN5,1,%,23-LE-92529,pi:160560,akerbp
pi:160182,23-FT-92512:X.Value,PH 1stStgSuctCool Gas In,VAL_23-FT-92512:X.Value,PI,23-FT-92512,,PH 1stStgSuctCool Gas In,FALSE,FALSE,VAL_23-FT-92512:X.Value,160182,,VLH_PCN1,1,,23-FT-92512,pi:160182,akerbp
pi:160729,23-PT-96160:Z.X2.Value,PH 1st Stg Comp Separation Gas,VAL_23-PT-96160:Z.X2.Value,PI,23-PT-96160-02,,PH 1st Stg Comp Separation Gas,FALSE,FALSE,VAL_23-PT-96160:Z.X2.Value,160729,,VLH_PCN1,1,,23-PT-96160-02,pi:160729,akerbp
pi:160886,23-TT-92539:X.Value,PH 1stStgComp Discharge,VAL_23-TT-92539:X.Value,PI,23-TT-92539,,PH 1stStgComp Discharge,FALSE,FALSE,VAL_23-TT-92539:X.Value,160886,,VLH_PCN1,1,DegC,23-TT-92539,pi:160886,akerbp
pi:160925,23-TT-96132-01:Z.X.Value,PH 1stStg Journ BRG DE,VAL_23-TT-96132-01:Z.X.Value,PI,23,,PH 1stStg Journ BRG DE,FALSE,FALSE,VAL_23-TT-96132-01:Z.X.Value,160925,,LAB-WAS-VAL,1,,23,pi:160925,akerbp
pi:163523,45-PDT-92606:X.Value,PH 1stStgDiscCool CM,VAL_45-PDT-92606:X.Value,PI,45-PDT-92606,,PH 1stStgDiscCool CM,FALSE,FALSE,VAL_45-PDT-92606:X.Value,163523,,VLH_PCN1,1,,45-PDT-92606,pi:163523,akerbp
pi:160732,23-PT-96186:Z.X2.Value,PH 1st Stg Oil Header,VAL_23-PT-96186:Z.X2.Value,PI,23-PT-96186-02,,PH 1st Stg Oil Header,FALSE,FALSE,VAL_23-PT-96186:Z.X2.Value,160732,,VLH_PCN1,1,,23-PT-96186-02,pi:160732,akerbp
pi:160261,23-KA-9101-M01_Winding_Temperature_U1:VALUE,PH (SwitchGear),VAL_23-KA-9101-M01_Winding_Temperature_U1:VALUE,PI,23-KA-9101-M01,,PH (SwitchGear),FALSE,FALSE,VAL_23-KA-9101-M01_Winding_Temperature_U1:VALUE,160261,,VLH_PCN5,1,degC,23-KA-9101-M01,pi:160261,akerbp
pi:160068,23_KA_9101_M01_62C:Z.X.Value,PH 1stStg Comp Mtr Current,VAL_23_KA_9101_M01_62C:Z.X.Value,PI,23-KA-9101-M01,,PH 1stStg Comp Mtr Current,FALSE,FALSE,VAL_23_KA_9101_M01_62C:Z.X.Value,160068,,VLH_PCN1,1,,23-KA-9101-M01,pi:160068,akerbp
pi:160500,23-LIC-92521:Z.Y.Value,PH 1stStgSuctScrubber Level Output,VAL_23-LIC-92521:Z.Y.Value,PI,23-LIC-92521,,PH 1stStgSuctScrubber Level Output,FALSE,FALSE,VAL_23-LIC-92521:Z.Y.Value,160500,,VLH_PCN1,1,%,23-LIC-92521,pi:160500,akerbp
pi:160545,23-LY-92529_DensityBands_02foamLL:VALUE,PH (Profiler) Density Band 5 Lower Limit (FOAM),VAL_23-LY-92529_DensityBands_02foamLL:VALUE,PI,23-LE-92529,,PH (Profiler) Density Band 5 Lower Limit (FOAM),FALSE,FALSE,VAL_23-LY-92529_DensityBands_02foamLL:VALUE,160545,,VLH_PCN5,1,Kg/m3,23-LE-92529,pi:160545,akerbp
pi:160912,23-TT-96111-01:Z.X.Value,PH 1stStg Comp 1 Journ BRG DE,VAL_23-TT-96111-01:Z.X.Value,PI,23,,PH 1stStg Comp 1 Journ BRG DE,FALSE,FALSE,VAL_23-TT-96111-01:Z.X.Value,160912,,LAB-WAS-VAL,1,,23,pi:160912,akerbp
pi:160929,23-TT-96147-02:X.Value,PH 1st Stg Comp Sealgas Heater,VAL_23-TT-96147-02:X.Value,PI,23-TT-96147-02,,PH 1st Stg Comp Sealgas Heater,FALSE,FALSE,VAL_23-TT-96147-02:X.Value,160929,,VLH_PCN1,1,,23-TT-96147-02,pi:160929,akerbp
pi:161069,23-ZA-96121-01:Z.X.Value,PH 1stStg Gear Schaft Axial,VAL_23-ZA-96121-01:Z.X.Value,PI,23,,PH 1stStg Gear Schaft Axial,FALSE,FALSE,VAL_23-ZA-96121-01:Z.X.Value,161069,,LAB-WAS-VAL,1,,23,pi:161069,akerbp
pi:160725,23-PT-96156:Z.X2.Value,PH 1st Stg Outer Seal DE,VAL_23-PT-96156:Z.X2.Value,PI,23-PT-96156-02,,PH 1st Stg Outer Seal DE,FALSE,FALSE,VAL_23-PT-96156:Z.X2.Value,160725,,VLH_PCN1,1,,23-PT-96156-02,pi:160725,akerbp
pi:160260,23-KA-9101-M01_Thermal_overload_TOL3dev:VALUE,PH (SwitchGear),VAL_23-KA-9101-M01_Thermal_overload_TOL3dev:VALUE,PI,23-KA-9101-M01,,PH (SwitchGear),FALSE,FALSE,VAL_23-KA-9101-M01_Thermal_overload_TOL3dev:VALUE,160260,,VLH_PCN5,1,,23-KA-9101-M01,pi:160260,akerbp
pi:160577,23-NY-96144-02:VALUE,PH (CBM) Phase B Negative NQN,VAL_23-NY-96144-02:VALUE,PI,23-NY-96144,,PH (CBM) Phase B Negative NQN,FALSE,FALSE,VAL_23-NY-96144-02:VALUE,160577,,VLH_PCN5,1,-,23-NY-96144,pi:160577,akerbp
pi:160171,23-FE-9122-H01-F:Z.Y.Value,PH 1stStg Seal Gas Heater,VAL_23-FE-9122-H01-F:Z.Y.Value,PI,23-FE-9122,,PH 1stStg Seal Gas Heater,FALSE,FALSE,VAL_23-FE-9122-H01-F:Z.Y.Value,160171,,VLH_PCN1,1,,23-FE-9122,pi:160171,akerbp
pi:160696,23-PT-92504:X.Value,PH 1stStgSuctCool Gas Out,VAL_23-PT-92504:X.Value,PI,23-PT-92504,,PH 1stStgSuctCool Gas Out,FALSE,FALSE,VAL_23-PT-92504:X.Value,160696,,VLH_PCN1,1,,23-PT-92504,pi:160696,akerbp
pi:160576,23-NY-96144-01:VALUE,PH (CBM) Phase A Negative NQN,VAL_23-NY-96144-01:VALUE,PI,23-NY-96144,,PH (CBM) Phase A Negative NQN,FALSE,FALSE,VAL_23-NY-96144-01:VALUE,160576,,VLH_PCN5,1,-,23-NY-96144,pi:160576,akerbp
pi:160192,23-FT-96158:X.Value,PH 1stStg Comp Buffer Gas DE,VAL_23-FT-96158:X.Value,PI,23-FT-96158,,PH 1stStg Comp Buffer Gas DE,FALSE,FALSE,VAL_23-FT-96158:X.Value,160192,,VLH_PCN1,1,,23-FT-96158,pi:160192,akerbp
pi:160667,23-PIC-96153:Control Module:PD,PH 1stStg Comp Inner Seal Derivate time,VAL_23-PIC-96153:Control Module:PD,PI,23-PIC-96153,,PH 1stStg Comp Inner Seal Derivate time,FALSE,FALSE,VAL_23-PIC-96153:Control Module:PD,160667,,VLH_PCN1,1,s,23-PIC-96153,pi:160667,akerbp
pi:160918,23-TT-96114-01:Z.X.Value,PH 1stStg Gear2 Journ BRG DE,VAL_23-TT-96114-01:Z.X.Value,PI,23,,PH 1stStg Gear2 Journ BRG DE,FALSE,FALSE,VAL_23-TT-96114-01:Z.X.Value,160918,,LAB-WAS-VAL,1,,23,pi:160918,akerbp
pi:160119,23_TT_96132_02:Z.X.Value,PH 1stStg Journ BRG DE,VAL_23_TT_96132_02:Z.X.Value,PI,23,,PH 1stStg Journ BRG DE,FALSE,FALSE,VAL_23_TT_96132_02:Z.X.Value,160119,,VLH_PCN1,1,,23,pi:160119,akerbp
pi:160613,23-PC-9109-M01-39:X.Value,PH 1st Stg Aux Oil Pump Running,VAL_23-PC-9109-M01-39:X.Value,PI,23-PC-9109-M01-39,,PH 1st Stg Aux Oil Pump Running,FALSE,FALSE,VAL_23-PC-9109-M01-39:X.Value,160613,,VLH_PCN1,1,,23-PC-9109-M01-39,pi:160613,akerbp
pi:160248,23-KA-9101-M01_OC_high stage_NOC3high:VALUE,PH (SwitchGear) MV-COMP.M. FEEDER/ 50/51/51B-protection (trip 3I>>),VAL_23-KA-9101-M01_OC_high stage_NOC3high:VALUE,PI,23-KA-9101-M01,,PH (SwitchGear) MV-COMP.M. FEEDER/ 50/51/51B-protection (trip 3I>>),FALSE,FALSE,VAL_23-KA-9101-M01_OC_high stage_NOC3high:VALUE,160248,,LAB-WAS-VAL3P,1,,23-KA-9101-M01,pi:160248,akerbp
pi:160845,23-TIC-96148:Z.Y.Value,PH 1stStg Comp Seal Gas Output,VAL_23-TIC-96148:Z.Y.Value,PI,23-TIC-96148,,PH 1stStg Comp Seal Gas Output,FALSE,FALSE,VAL_23-TIC-96148:Z.Y.Value,160845,,VLH_PCN1,1,degC,23-TIC-96148,pi:160845,akerbp
pi:160555,23-LY-92529_NON-SILStatus_Heartbeat:VALUE,PH (Profiler) System Heartbeat/Watchdog,VAL_23-LY-92529_NON-SILStatus_Heartbeat:VALUE,PI,23-LE-92529,,PH (Profiler) System Heartbeat/Watchdog,FALSE,FALSE,VAL_23-LY-92529_NON-SILStatus_Heartbeat:VALUE,160555,,VLH_PCN5,1,,23-LE-92529,pi:160555,akerbp
pi:160118,23_TT_96131_02:Z.X.Value,PH 1stStg Journ BRG NDE,VAL_23_TT_96131_02:Z.X.Value,PI,23,,PH 1stStg Journ BRG NDE,FALSE,FALSE,VAL_23_TT_96131_02:Z.X.Value,160118,,VLH_PCN1,1,,23,pi:160118,akerbp
pi:160671,23-PIC-96153:MODE,PH 1stStg Comp Inner Seal Mode,VAL_23-PIC-96153:MODE,PI,23-PIC-96153,,PH 1stStg Comp Inner Seal Mode,TRUE,FALSE,VAL_23-PIC-96153:MODE,160671,,C,1,,23-PIC-96153,pi:160671,akerbp
pi:160563,23-LY-92529_Setpoints_SP_foamHi:VALUE,PH (Profiler) Foam deadband high setpoint,VAL_23-LY-92529_Setpoints_SP_foamHi:VALUE,PI,23-LE-92529,,PH (Profiler) Foam deadband high setpoint,FALSE,FALSE,VAL_23-LY-92529_Setpoints_SP_foamHi:VALUE,160563,,VLH_PCN5,1,Kg/m3,23-LE-92529,pi:160563,akerbp
pi:161057,23-YZSH-92545-F:X.Value,PH 1st Stg Comp Disch BDV SOV ZSH Flt,VAL_23-YZSH-92545-F:X.Value,PI,23-YZSH-92545,,PH 1st Stg Comp Disch BDV SOV ZSH Flt,FALSE,FALSE,VAL_23-YZSH-92545-F:X.Value,161057,,VLH_PCN1,1,,23-YZSH-92545,pi:161057,akerbp
pi:160565,23-LY-92529_Setpoints_SP_oilHi:VALUE,PH (Profiler) Oil deadband high setpoint,VAL_23-LY-92529_Setpoints_SP_oilHi:VALUE,PI,23-LE-92529,,PH (Profiler) Oil deadband high setpoint,FALSE,FALSE,VAL_23-LY-92529_Setpoints_SP_oilHi:VALUE,160565,,VLH_PCN5,1,Kg/m3,23-LE-92529,pi:160565,akerbp
pi:163364,45-FT-92139A:X.Value,PH 1stStg Mtr Cooler CW,VAL_45-FT-92139A:X.Value,PI,45-FT-92139A,,PH 1stStg Mtr Cooler CW,FALSE,FALSE,VAL_45-FT-92139A:X.Value,163364,,VLH_PCN1,1,,45-FT-92139A,pi:163364,akerbp
pi:160829,23-TIC-96147:Control Module:BX,PH 1stStg Comp Seal Gas External,VAL_23-TIC-96147:Control Module:BX,PI,23-TIC-96147,,PH 1stStg Comp Seal Gas External,FALSE,FALSE,VAL_23-TIC-96147:Control Module:BX,160829,,VLH_PCN1,1,-,23-TIC-96147,pi:160829,akerbp
pi:160924,23-TT-96131-01:Z.X.Value,PH 1stStg Journ BRG NDE,VAL_23-TT-96131-01:Z.X.Value,PI,23,,PH 1stStg Journ BRG NDE,FALSE,FALSE,VAL_23-TT-96131-01:Z.X.Value,160924,,LAB-WAS-VAL,1,,23,pi:160924,akerbp
pi:160170,23-FE-9122-39:X.Value,PH 1st Stg Seal Gas Heater Running,VAL_23-FE-9122-39:X.Value,PI,23-FE-9122-39,,PH 1st Stg Seal Gas Heater Running,FALSE,FALSE,VAL_23-FE-9122-39:X.Value,160170,,VLH_PCN1,1,,23-FE-9122-39,pi:160170,akerbp
pi:160885,23-TT-92537:X.Value,PH 1stStgComp Discharge,VAL_23-TT-92537:X.Value,PI,23-TT-92537,,PH 1stStgComp Discharge,FALSE,FALSE,VAL_23-TT-92537:X.Value,160885,,VLH_PCN1,1,DegC,23-TT-92537,pi:160885,akerbp
pi:160913,23-TT-96111-03:Z.X.Value,PH 1stStg Comp 1 Journ BRG DE,VAL_23-TT-96111-03:Z.X.Value,PI,23,,PH 1stStg Comp 1 Journ BRG DE,FALSE,FALSE,VAL_23-TT-96111-03:Z.X.Value,160913,,LAB-WAS-VAL,1,,23,pi:160913,akerbp
pi:160226,23-KA-9101_PHD:VALUE,PH (CBM) 1st Stage Poly Head Dev,VAL_23-KA-9101_PHD:VALUE,PI,23-KA-9101,,PH (CBM) 1st Stage Poly Head Dev,FALSE,FALSE,VAL_23-KA-9101_PHD:VALUE,160226,,VLH_PCN5,1,,23-KA-9101,pi:160226,akerbp
