key,name,asset_specific,parent_externalId,erp_id,description
AREA_MAINT,Maintenance,Area,SITE_BER,S4:450,Maintenance services area for SITE_BER operations (ISA-95 Area).
PC_MAINT,Maintenance Cell,ProcessCell,AREA_MAINT,PC:MAIN,Maintenance process cell executing service work (ISA-95 Process Cell).
UNIT_COMP,Compressor,Unit,PC_MAINT,U:COMP1,Utility compressor unit supporting maintenance cell (ISA-95 Unit).
EM_COMP_CTRL,Compressor Control,EquipmentModule,UNIT_COMP,EM:CTRL2,Control module governing UNIT_COMP automation (ISA-88 Equipment Module).
UNIT_R14,Reactor R14,Unit,PC_CELLA,U:R14,Reactor unit R14 supporting Process Cell A production (ISA-95 Unit).
EM_R14_HEAT,Heater Module,EquipmentModule,UNIT_R14,EM:HEAT,Heating module providing thermal control for UNIT_R14 (ISA-88 Equipment Module).
PC_CELLA_C,Process Cell C,ProcessCell,AREA_BIO,PC:C,Tertiary upstream process cell in AREA_BIO (ISA-95 Process Cell).
UNIT_R15,Reactor R15,Unit,PC_CELLA_C,U:R15,Reactor unit R15 assigned to Process Cell C batches (ISA-95 Unit).
EM_R15_VALVE,Valve Manifold,EquipmentModule,UNIT_R15,EM:VALVE,Valve manifold module distributing flow in UNIT_R15 (ISA-88 Equipment Module).
AREA_QUALITY,Quality,Area,SITE_OSL,S4:320,Quality assurance area for SITE_OSL operations (ISA-95 Area).
PC_QA,QA Cell,ProcessCell,AREA_QUALITY,PC:QA,QA process cell coordinating inspection activities (ISA-95 Process Cell).
UNIT_QA1,QA Unit 1,Unit,PC_QA,U:QA1,QA equipment unit executing analytical procedures (ISA-95 Unit).
EM_QA_SENS,Sensors Module,EquipmentModule,UNIT_QA1,EM:SENS,Sensing module providing instrumentation for UNIT_QA1 (ISA-88 Equipment Module).
EM_QC_UV,UV Detector,EquipmentModule,UNIT_QC1,EM:UV,UV detector module used in QC analytics (ISA-88 Equipment Module).
EM_QC_FRACTION,Fraction Collector,EquipmentModule,UNIT_QC1,EM:FRAC,Fraction collection module for QC chromatography (ISA-88 Equipment Module).
SITE_SF,SanFrancisco Site,Site,ENT_US,SAP:4100,San Francisco pilot site within ENT_US (ISA-95 Site).
AREA_PILOT,Pilot Plant,Area,SITE_SF,S4:520,Pilot-scale manufacturing area at SITE_SF (ISA-95 Area).
PC_PILOT1,Pilot Cell 1,ProcessCell,AREA_PILOT,PC:P1,Pilot process cell executing development batches (ISA-95 Process Cell).
UNIT_PILOT_REACT,Pilot Reactor,Unit,PC_PILOT1,U:PILOT1,Pilot reactor unit conducting experimental runs (ISA-95 Unit).
EM_PILOT_CTRL,Pilot Controller,EquipmentModule,UNIT_PILOT_REACT,EM:PCTRL,Controller module orchestrating pilot reactor operations (ISA-88 Equipment Module).
